file,region1p1,region1p2,count,r1rank1,r1rank2,SUM
ss__0207_0685348936_600rrs__0071836srlc11421w108cgnj09.csv,59,14,1296,0.045524691,0.010802469,0.05632716
ss__0207_0685349792_790rrs__0071836srlc11421b108zpzj03.csv,0,0,2,0,0,0
ss__0207_0685350278_790rrs__0071836srlc16000w1__cgnj03.csv,0,0,1,0,0,0
ss__0208_0685432333_690rrs__0071836srlc11370w108cgnj03.csv,0,0,50,0,0,0
ss__0208_0685432982_755rrs__0071836srlc11370w208cgnj03.csv,2,0,50,0.04,0,0.04
ss__0208_0685433804_710rrs__0071836srlc11371w108cgnj03.csv,1,0,50,0.02,0,0.02
ss__0208_0685434454_680rrs__0071836srlc11371w208cgnj03.csv,3,1,50,0.06,0.02,0.08
ss__0208_0685435280_635rrs__0071836srlc11372w108cgnj03.csv,1,0,50,0.02,0,0.02
ss__0208_0685435929_750rrs__0071836srlc11372w208cgnj03.csv,0,0,50,0,0,0
ss__0208_0685436803_495rrs__0071836srlc16000w1__cgnj03.csv,0,0,1,0,0,0
ss__0257_0689783904_065rrs__0080000srlc11360w108cgnj03.csv,0,0,50,0,0,0
ss__0257_0689784553_585rrs__0080000srlc11360w208cgnj03.csv,1,0,50,0.02,0,0.02
ss__0257_0689785335_515rrs__0080000srlc11421w108cgnj06.csv,28,5,1296,0.021604938,0.003858025,0.025462963
ss__0257_0689786201_620rrs__0080000srlc11421b108zpzj03.csv,0,0,2,0,0,0
ss__0257_0689787325_445rrs__0080000srlc16000w1__cgnj03.csv,0,0,1,0,0,0
ss__0269_0690848406_825rrs__0080000srlc11421w108cgnj06.csv,39,13,1296,0.030092593,0.010030864,0.040123457
ss__0269_0690849294_120rrs__0080000srlc11421b108zpzj04.csv,0,0,2,0,0,0
ss__0269_0690849690_630rrs__0080000srlc11370w108cgnj04.csv,1,0,50,0.02,0,0.02
ss__0269_0690850340_585rrs__0080000srlc11370w208cgnj04.csv,1,0,50,0.02,0,0.02
ss__0269_0690851164_255rrs__0080000srlc11373w108cgnj04.csv,0,0,50,0,0,0
ss__0269_0690851813_405rrs__0080000srlc11373w208cgnj04.csv,0,0,50,0,0,0
ss__0269_0690852635_600rrs__0080000srlc11374w108cgnj04.csv,0,0,50,0,0,0
ss__0269_0690853284_920rrs__0080000srlc11374w208cgnj03.csv,2,0,50,0.04,0,0.04
ss__0269_0690854162_440rrs__0080000srlc16000w1__cgnj04.csv,1,1,1,1,1,2
